id,text,polarization,political,racial/ethnic,religious,gender/sexual,other
rus_011404eb993b7e99417c0811cb7daded,"Сегодня я уже не человек  потому просила нейронку просто порассказывать мне фанфики по робинхиллам. А он мне нарисовал их. И вроде молодец  оч классно вышло. Но нейронка упорно не понимает внешность Зарянки. Поэтому я чуточек дорисовала сама. 
Кормлю себя контентом как могу :Д",0,0,0,0,0,0
rus_0129148925f6976a3463a8ba06475542,"@USER Репрессии были и есть во всех государствах.
Что смутить-то должно?",0,0,0,0,0,0
rus_0145d95ebb8db1c105c7c2ea4065348e,@USER @USER @USER Как ведут себя хохлы за границей видели ?,0,0,0,0,0,0
rus_016b2d007e640a9aa6887b4a1feb17ab,Мои друзья Михаил Хазин и Сергей Глазьев о том  что некоторые правительственные меры по борьбе с COVID-19 абсурдны и опасны  и если их не пересмотреть  то страна может вернуться в девяностые с распределением продовольствия по талонам  преступностью и т.п.,0,0,0,0,0,0
rus_01740cd848ed30efb283ace93436c25f,@USER отношение к протестам это одно  положение русских - это другое  казахи всегда и часто незаслуженно уважали русских,1,0,1,0,0,0
rus_0187377678202f4cc9062447bffd5247,"а я говорю про изначальный видос где ты меня тэгнул где скорее всего  показан именно Токио Потомучто в вакканае нет небоскребов.
И вот таким шортсам и тиктокам с кучей неточностей и искажений ты вериш и неподозреваеш что это пропаганда нацелена на эмоциональную провокацию и разрушению логики.",0,0,0,0,0,0
rus_01903f004a561f83d83664b7ed3bd727,#тнрс #лгбт Примерно так я выгляжу 24/7 на карантине:,0,0,0,0,0,0
rus_0191c3a031f549eafb0795a31697fa2c,@USER очень хочется -__- совсем там с ума посходили на почве комплекса вины  расизма и карантина,0,0,0,0,0,0
rus_01967c60407a1b343d76246a407fc2a8,"1. Расизм пишется с одной ""с"" 2. Прежде чем признать эпидемию  китайцы отправили в тюрьму докторов  которые начали беспокоиться 3. Называть коммунистических идиотов  которые на этот раз устроили всемирный Чернобыль идиотами - это не расизм  а констатация факта",0,0,0,0,0,0
rus_01b7b9b274a379a53cac1d8c342d6689,@USER А когда путинская фашистская диктатура соблюдала хоть какие-то международные конвенции?,1,1,0,0,0,0
rus_021c8b408a4e8e10721ddaefc8a09b90,«Коронавирус придумали евреи»  «правительство лжет и способствует геноциду»  «пресса пытается выдать профессора Раульта за сумасшедшего»: пандемия Covid-19 дала почву многочисленным теориям заговора. Во Франции в центре внимания сторонников,1,0,1,0,0,0
rus_0226089bd14c074305e200e969b87df6,@USER @USER Тю почему враждуют да  потому что киргизы говорят по киргизки а таджики по таджиски . Нет понимание ),0,0,0,0,0,0
rus_023118b3949f6213243f7a8df04479b3,"⚡️ Украина ставит целью закончить  конфликт с РФ в этом году  заявил глава украинского МИДа Сибига изданию Yle.

Для этого он призывает Трампа ввести ""разрушительные"" санкции против РФ  которые помешают ей ""подпитывать свою военную машину и торговать с третьими странами"".",0,0,0,0,0,0
rus_023f37b9cbc49ac23af51f8dc04e02b4,"Да  кстати  если вы считаете что нарушение режима самоизоляции ради ""выпить певка пока бары не позакрывали"" – это касается только вас  и всякое осуждение этого поведения – дискриминация сроду расизму и гомофобии  отпишитесь пожалуйста.",0,0,0,0,0,0
rus_02494ae7ff913b20dedbebccf103111d,Пандемия коронавируса - это когда отсталые азиаты передовых атлантоевропейцев в жопу ебут.,1,0,1,0,0,0
rus_0282565d778186f504d2a83b312ec858,Кто не знает  по приложению bookmate можно бесплатно прочитать до конца карантина кучу клевых книжек от издательства попкорнбукс  все равно книжные закрыты  а у них много вещей интересных и с лгбт отношениями в частности,0,0,0,0,0,0
rus_029807b7ef5623a0add478e61cc4dfcb,Мне многие верующие говорят  что вот мол попы бывают плохими  а сама вера хорошое  доброе дело. Да вот же как раз пример до чего доводит вера. Люди верят в бога  что он их защитит  идут в церкви и мрут от вируса. Вера в чудеса - это опасное дело.,1,0,0,1,0,0
rus_029b9d6c97aa39e5c4bc95081498ae05,@USER Виктор Ерофеев скорее всего имеет страшный вирус ЛГБТ,1,0,0,0,1,0
rus_02a2c583ec50fc814afc9f4214f28d21,"""Коронавирус придумали евреи""  ""правительство лжет и способствует геноциду"": пандемия Covid-19 дала почву многочисленным теориям заговора.",0,0,0,0,0,0
rus_02cb46ebc6bd07e7e4775bd5d30e3ba5,Ну тогда сидите и не мурлыкайте. А то заносите всякую гадость извне - а феминизм он хуже китайского вируса,1,0,0,0,1,0
rus_02ea7e2e7a774179caa3493014053027,расисты вообще с ума посходили  используя коронавирус  как отговорку и повод для издевок. таким «людям» нужна не вакцина от вируса  а целый ряд лекарств от гребаного расизма.,1,1,0,0,0,0
rus_03249c89e6358161d7121a1d51bbb56b,"@USER Вова  ты дебил.)
Хотя оно видно и по серпу-молоту.
Коммуняки - фашисты по своей сути были и будут пока все не издохнут.",1,1,0,0,0,0
rus_0336a0feb6a500589a0cb8e334c3f95d,@USER @USER Русские политики бывают провластные  а бывают и оппозиционные. Их преследуют и порой убивают. Вы про это не знали ?,0,0,0,0,0,0
rus_033b91fd64ba04a57d869025e27408c3,"так ""режим самоизоляции"" или ""карантин""?",0,0,0,0,0,0
rus_0346befc6a5a20ce978e194d1f1c2e5a,очень завидую парочкам которые проводят карантин вместе. а нам девочки желаю встретиться с жёнами во снах. не болейте #лгбт #LGBTQuarantine,0,0,0,0,0,0
rus_03668cf5fcca7d3a73f182cc87e2bc44,Начался Рамадан. То есть мало того  что весь день дома сидишь  так еще и на кухню лучше не заглядывать. Бедные мусульмане.,0,0,0,0,0,0
rus_03862db975028cf2300f73974c532af8,никогда не пойму радфем как течение😞 /ненег к радфем-кам,0,0,0,0,0,0
rus_0394930ccc9b36755b11102f8a3c0441,Врачи: маски не помогают здоровым. Все азиаты во всем мире:,0,0,0,0,0,0
rus_03ac79772f411e3b0bd8bd6ac3d34fa1,@USER А потом эти люди нам еще шенген отменить хотят по причине «сраный совок»,0,0,0,0,0,0
rus_03c88915f2c6cc48eddc6a3a82bdd2e0,Стратегию по преодолению продовольственного кризиса в условиях пандемии COVID-19 представили в Исламской организации по продовольственной безопасности -,0,0,0,0,0,0
rus_03ca2c73d5d2416547db9e726b4a1741,@USER @USER Да. Они их у нас в паре с триколором вешали. Православные коммунисты. Там такая каша в головах,0,0,0,0,0,0
rus_03d698775127fcdcd3cb56506d669fa3,одной рукой накладывают санкции а другой рукой снимают,0,0,0,0,0,0
rus_03d6d3a5216025f4cbcdc0c014165b09,Отдельные редкие казахи кажется понимают в чём подвох этого снижения цен на газ. Но очень редкие и очень отдельные.,0,0,0,0,0,0
rus_03f0bceed67d17313b928b9d2245a5c5,@USER Казахи говорят  что все это хуйня! Ничего не меняется и Токарев такое же говно  как и все эти ненасытные мрази!,0,0,0,0,0,0
rus_03f748f7c2e6b44b9f19b45b67939506,У нас в Самарской области введён режим повышенной готовности в связи с угрозой распространения новой коронавирусной инфекции. Уважаемые посетители! Просим вас ознакомиться с памяткой Роспотребнадзора о профилактике коронавирусной инфекции. Берегите себя и будьте здоровы,0,0,0,0,0,0
rus_041906992e2192a9b4a30d5fe467d98a,Китайцы победили эпидемию коронавируса путём жёсткого карантина.Швеция повыпендривалась умирают много одумались теперь будут на карантине.В России не китайский и не шведский сценарий свой  никто никакой разницы не ворует дискредитировать власть не удастся.Беларуси тоже виднее.,0,0,0,0,0,0
rus_041a1c6c046d8aa5dfb5dc3362314609,"Знаешь  что он сказал Шахно? ""Ты молодая  не умрешь!"" Я говорю: а если да  вы сможете смотреть в глаза ее отцу? Он прикинулся что не понял Вообще мужчины в компании не относятся серьезно: ходят без масок  здороваются за руки. ""А чо? - сказал юрист. - Я ж на машине  а не в метро",0,0,0,0,0,0
rus_04380d71c00095a2fb07f83d9ab9f751,Приготовьтесь!!К нам мигранты попрут!!🤣,1,0,1,0,0,0
rus_046f83fdf22090028109f42fcfd958ae,Россияда ҳам карантин жорий қилингани учун ишимиз вақтинча тўхтади. Лекин патентучун тўлов қилишимиз керак. Бу бўйича бирор енгиллик қилишнинг иложи борми? Россияда вақтинча бўлиш муддати узайтирилди  янги патент расмийлаштириш тартиби енгиллаштирилди.,0,0,0,0,0,0
rus_048d5ba7004247930421a0b70a7096b7,Любой религиозный фанатизм - это зло. И меры к нему должны быть адекватными. То же самое надо проделывать и с очередью к мощам и иконам  и с толпой у мечетей в период карантина.,1,0,0,1,0,0
rus_04a02b5ff9dac5fe7166780b61b16180,"слово ""вич"" ни разу не слышала вслух. Про эпидемию слышала только недавно на хайпе короновируса. это ж как геи и т.п. Это явление где-то есть  но точно не среди моих близких  меня это не коснется И тут скорее известность дудя помогла обсуждению темы  а не наоборот",0,0,0,0,0,0
rus_04b65c8affd09a8355686377713c25e0,Ненавижу дистанционное. Ненавижу. Мне кажется  мне и маме после карантина понадобится уже даже и не психолог  а психиатр.,0,0,0,0,0,0
rus_04ffeac8cdebf7565c84be2580a18750,@USER Реальный мир - это сало-пропаганда?,0,0,0,0,0,0
rus_05113128957d4859a0a78a40dd67f481,"Трамп всегда пиздабол - и с ним всегда хочется спорить. А следовало бы обратить внимание на то  о чём много лет твердит рос. пропаганда - за этой войной стоят США  и только от их решения зависит судьба Украины.
А почему это в конце концов стало правдой- вот о чём надо бы подумать.
А не про хуй)",1,1,0,0,0,0
rus_0524a2c7de31a1ebdf6fdfefe5aa8282,"⚡ ‼️ЕС ударит санкциями по Китаю и Турции⚡

16-й пакет антироссийских санкций затронет десятки компаний в КНР  Турции и других странах. Брюссель расширяет давление — но как отреагируют Пекин и Анкара?! 🔥🌍
t.me/ejdailyru
#Санкции #ЕС #Китай #Турция #Россия",0,0,0,0,0,0
rus_05533a7f0caf4b9c0c409af352207890,Смотрю сейчас сериал с Ру Пол  он же сценарист. Очень душевная история  советую к просмотру. #rupaul #Netflix #лгбт #dragqueen #сериал #рекомендую #карантин,0,0,0,0,0,0
rus_05678b686330e2cdd729076d3c9a2d20,@USER Давно пора было гнать всех непрошеных гостей оттуда  а сейчас они уже как-бы обжиты там  турки тоже кстати,0,0,0,0,0,0
rus_058e4942ec6d678985f5dc5675082d29,что происходит в мировых? что за карантин у лгбтк? он какой-то отличный от гетеросексуальского?,0,0,0,0,0,0
rus_05a1a122af98f33cecb827a5a324bd8b,Оптимизацией занимался уже СССР  еще в 70х требуя чтобы не было лишних коек  и не было простоя коек в больницах Так как речь идет о режиме отстутствия эпидемии  в случае оной были бы все теже проблемы,0,0,0,0,0,0
rus_05cfb8ef213c66bfdb4fe1e09e24d206,@USER пусть Россия развивается! Эти санкции только на пользу пойдут!,0,0,0,0,0,0
rus_05d3745dfeee109b53cfa4f88e279b22,СМИ сообщили о переносе Гран-при «Формулы-1» во Франции из-за вируса,0,0,0,0,0,0
rus_05ea39cd891dff645ad1bb35d805fb26,Soy  профессиональные медные турки  у них толстое дно и такая форма  чтобы все оптимально и быстро заваривалось  считается топ за свои деньги  хотя вроде как ZH тоже стали хороши и дешевле,0,0,0,0,0,0
rus_05eac6da9d98e290834d467e214403a8,@USER Про концлагерь я у него не читала. Но  думаю  будет еще тяжелее... (,0,0,0,0,0,0
rus_05f71049beb53db83e2832de94427fd0,@USER @USER @USER @USER Мы  казахи  до 2010 года жили хорошо  даже шиковали,0,0,0,0,0,0
rus_060fda81d662895662088087590d64f7,В лагерях и тюрьмах Сирии  где в антисанитарийных условиях  содержатся женщины и дети может вспыхнуть массовое заражение COVID -19. Вспомните о них и верните домой,0,0,0,0,0,0
rus_06201121f6e4ebd3df6248ab44449ca8,США вводят санкции против российской компании Росатом.,0,0,0,0,0,0
rus_06516743d841befcc866f7e77c5d704f,@USER подытожим: русня терпилы и всегда такими будут.,1,0,1,0,0,0
rus_0660dbd723c8d2d83072d6956ed9fdd2,@USER попробуйте примерить подобные в магазинах после карантина  понравится или нет :3 но вообще мне кажется они всем идут),0,0,0,0,0,0
rus_0662c23f59b897d5158367914fdd77a5,Первый не простит. Не сможет. А второго не вспоминай. И когда этот карантин закончится уже!? Все женщины с ума посходили!,1,0,0,0,1,0
rus_066ba260ac3221c4931843d772d83371,@USER Читаю и холодеет сердце... рашисты  горите в аду.,1,1,0,0,0,0
rus_069a51771fad36381bae75cc4ade183c,Сижу и думаю  какие же у нас в стране люди «особенные»! Раз карантин  значит надо поехать на шашлыки  гулять  по магазинам и друзьям! Какие же они недалекие думаю я  а потом понимаю  что сама ещё не решила  куда на выходных пойду.,0,0,0,0,0,0
rus_069d8738f60d8d32c0828d921123c5c9,"Сегодня я должна была увидеться с бывшей девушкой  но меня не пустили из-за ""карантина"" У меня просто истерика Я плачу уже час  и останавливаться вроде не собираюсь. Как проще выпилиться то  а.. И САМОЕ ГЛАВНОЕ  она сама захотела увидеть меня. ебала я в рот. #лгбт",0,0,0,0,0,0
rus_06ca1d9ddff66d3718f41fe148e8d246,"УПЦ Московского патриархата в Запорожье устроила ""воздушный крестный ход"" для борьбы с коронавирусом  на вертолете. Почему в нашей стране допускают такое мракобесие? Если бог есть  то почему он допустил эпидемию вируса и смерти людей? #коронавирус #Украина",1,0,0,1,0,0
rus_06d7474ac249d28aeadf6967c005187c,Европейская развитая страна: В Беларуси могут начать делать экспресс-тесты на антитела к COVID-19 Отсталые азиаты: Вакцину от коронавируса в России испытают на 60 добровольцах,0,0,0,0,0,0
rus_0704854f5f5cf47208efd45da365e6fe,почему все женщины внезапно решили выйти замуж  думаю чисто ради фоток в масках у ЗАГСа,0,0,0,0,0,0
rus_07186f4c8786628daad13d3d7c8ebe4b,Вот и фсьо ! Прощай коронавирус ! Избранная нация !,0,0,0,0,0,0
rus_071ee64e609a47cfd9325cc6ba6bdfa8,вышла забрать у папы продукты в подъезде на первом этаже прошла мимо женщины с сухим кашлем на ней не было маски я конечно все сто раз помыла но БЛЯТЬ может у тебя голова работать ты можешь блять не выходить из дома нахуй приковать себя к батарее если у тебя симптомы?!,0,0,0,0,0,0
rus_073f401e8dd9eaf2a35af0a3c8cf2a6d,Расизм во всей красе. Два врача из Франции предлагают тестировать вакцины от коронавируса в Африке.,1,0,1,0,0,0
rus_07482132228ba44c019a4f65bcdb0b89,Вы больная? Извините. Я вам видео показывала как и кто соблюдает(все видео сделаны в период карантина!)   может хватит уже? Никто ничего соблюдать не будет из тех кто придет! Адекватные верующие будут сидеть дома!,0,0,0,0,0,0
rus_07539dc62f6b8f3eeaafea8b7ce16e53,@USER А разве IT продукты не включены в Санкции?,0,0,0,0,0,0
rus_075fd6c18646de7cb9ed397452a855bf,Вот посмотрите  чем сейчас люди заняты в самоизоляции. Они так же и работать будут если введут безусловный доход. Скорее бы в Европе ввели повсеместно такое. Тогда там остануться жить только мигранты из Афганистана. Остальные homo erectus-ы оттуда сбегут.,0,0,0,0,0,0
rus_07740843a0400cfca18bab5c9cc7f772,каждый шизик теперь может собрать большую аудиторию таких же невежественных инфузорий и начать учить радикальному феминизму  развенчанию вирусов  сексу  коммунизму  тетахилингу Я ЗАКРЫВАЮ ИНТЕРНЕТ  ВСЁ,0,0,0,0,0,0
rus_077d02178de25c137687c39062b6e025,@USER @USER Принадлежность к нации это русские. А рашисты и русня это те  кто в под Киевом детей насиловал,1,1,1,0,0,0
rus_0783f45a953d870255b8bc5fa40084f8,США вводят санкции против спецдокладчика Совета ООН по правам человека Франчески Альбанезе из-за «незаконных и постыдных попыток спровоцировать Международный уголовный суд на действия против должностных лиц  компаний и лидеров США и Израиля»  заявил госсекретарь США Марко Рубио,0,0,0,0,0,0
rus_07c37a63751e730ff91d485bf7a541a9,конечно  она потом будет говорить  что карантин для меня- радость. И что мне только бы дома посидеть но я просто не хочу идти куда-то С НЕЙ. начнутся разговоры неприятные  КАК ОБЫЧНО  я уж лучше еще позеленею и посижу без солнышка  чем пойду куда-то,0,0,0,0,0,0
rus_07d93ad21a20b52620031d091724fb07,Вышла погулять с собакой Проходила мимо сидящей на лавочке женщины  которая крикнула чтобы я больная сидела дома  а не по улицам шлялась в своей маске и людей заражала Сама она была конечно же без маски Excuse me?,0,0,0,0,0,0
rus_0807a87a1d3dea96de377330079434df,Ля  сколько можно орать про старый вирус. Короновирус - это только вид вирусов. Сейчас ходит один из его штаммов. Щас будет максимально тупое сравнение: Пантера и домашний кот разные животные  но это всё семейство кошачьих.,0,0,0,0,0,0
rus_083c3762d9e7488850c8730db1502923,К 6 марта появились первые погибшие из-за коронавируса в Швейцарии и Великобритании. — Палестина ввела 30-дневный режим ЧС  — В России отменили Санкт-Петербургский экономический форум  — Российские власти решили бороться с влиянием вируса на экономику.,0,0,0,0,0,0
rus_08600650f61dfbb4d81007ae48b0b2da,меня так раздражает видеть выпады по отношению к азиатам или европейцам по поводу короны какой в вашем расизме смысл вирус не распространяется по принципу расы и этнической принадлежности,0,0,0,0,0,0
rus_086557b2a677a7897f6a91d3efcf4ada,@USER Да они все сидят щас тесты каждый день делают   все 10 млн зажали ),0,0,0,0,0,0
rus_087352afc8c3d6f32e128fe8a52ec601,"Интересно где те умники что пищали ""азиаты более восприимчивы к вирусу""?. Ну ну",0,0,0,0,0,0
rus_0895e88f27266e2585d8c01b97fb4cb3,делала маску на лицо она была с голубой глиной  я сидела с ней 15 минут  пошла смывать  возвращаюсь  мать такая : -ты хорошо ее смыла? -да  а что ? -у тебя просто лицо ГОЛУБИЗНОЙ ДО СИХ ПОР ОТДАЁТ -ПОВЕРЬ ЭТО НЕ ИЗ-ЗА МАСКИ - ИДИ ТЫ БЛЯТЬ СО СВОИМИ ШУТКАМИ #лгбт #тнрс,0,0,0,0,0,0
rus_089da02fe79efbe06fe0906477b939aa,Пиздит тварь ботоксная  как всегда!Чем в сраной бензоколонке определять короновирус? Тестом на беременность?,0,0,0,0,0,0
rus_08a078fa94ba9372c059d53d12994e3c,Пиздец вышли с мамой в аптеку и магазин в масках  кучу людей увидели  маски носят ТОЛЬКО женщины  и то не все Мужики даговские вообще решили что они и вирус отпиздят если надо,1,0,1,0,1,0
rus_08b919ff2853284d863dee0665a1d87e,Наступил режим самоизоляции. Пошли слухи что на окраине города будут копать яму для умерших. Шел в магазин  мимо проехала скорая с космонавтами. Будни сталкера. А ещё меня заставили носить чёртову маску,0,0,0,0,0,0
rus_08cca618803a5db6ca85268d2f0a42a0,"@USER @USER Мусульмане и сало едят. 
Если ноги на пол не опускать с кровати в темноте под одеялом)",0,0,0,0,0,0
rus_09168579ea8e5c60a4c3bf6323b5f1fe,При этом в Израиле вчера начали праздновать Песах как обычно и карантин в этом им не помеха. Евреи- МОЛОДЦЫ! А мы- трусы и безбожники  получается?,1,0,0,1,0,0
rus_0921a71a6e3e4d7c86fcc642e9af1174,@USER Наша оппозиция уже давно растеряла основную массу своих сторонников. Видно люди поняли  что с этими ребятам кашу не сваришь.,1,1,0,0,0,0
rus_0961a66914afad5e0f778076d92e4167,"Кстати  а вот - ""Секта отрицателей вируса седьмого дня"" утверждает  что вируса нет!

И как быть? Кому верить? 😏",0,0,0,0,0,0
rus_09654c07512995f371bc60aa6b9cc590,"Почему на госТВ сваливают в одну кучу ""режим самоизоляции"" (придуманный ССС и противоречащий законодательству РФ) и ""карантин"" (почему же до сих пор не объявлен в Москве?)  соответственно ""собянинские штрафы"" и штрафы в КоАП  введённые Госдумой для несоблюдающих карантин?!",0,0,0,0,0,0
rus_0980cf7fa61b1d38bc7256f48f42cb85,@USER @USER @USER А что так? Почему христиане помогали мусульманам?,0,0,0,0,0,0
rus_09825a1ef24a9c1f238a7df73df477e7,Женщины в масках стали сексуальней,0,0,0,0,0,0
rus_0983b6fb60c7be3988c9f8bde6d67f33,@USER Выехать и противостоять? Казахи грузины смельчаков сразу пиздить.,0,0,0,0,0,0
rus_09855baa10c7087b45fd499b0055d970,Когда становится скучно  читаю стенания зарыковской по поводу страданий ипэшников во время карантина. Бедные и несчастные  теперь не могут позволить себе солнцезащитные очки за 20 кусков  ещё и ответственность за работников на себя брать надо!!!,1,0,0,0,0,1
rus_09d77070c67f85acbe3674f0745cb45a,@USER @USER ...хорош уже пургу нести про бандеровцев.Это россия бомбит и убивает сейчас украинцев а не бандеровцы россиян....,1,1,0,0,0,0
rus_09ea0fa1b91dc27ee74041faf184d2e8,Согласно исламской доктрине не допускается подвергать опасности других и себя  а в условиях эпидемий надо держаться своего дома. Но все равно  если б не действия властей  людей бы не остановили эти положения. Из того же чувства протеста,0,0,0,0,0,0
rus_09f4fe7f934cc2a2bd299a2a517b6cdd,А чё тогда клянчит у РФ маски и аппараты ивл ? Ислам всё заеб?,0,0,0,0,0,0
rus_0a461002300ec5ceb52dff441a5db782,Их допустим 30 людей что я видела( на самом деле я видела намного больше) на улице  лишь 4 были в масках. Остальные без  устраивают пикники  пьют пиво и едят чипсы из одной упаковки  а тут азиаты в масках и перчатках людей за километр обходят  кошмар  лучше бы дома сидели,0,0,0,0,0,0
rus_0a54a4d8549a4bf7ee36bcb6b987b21e,Не передергивай   называя меня фашистской и нацисткой. Весь мир видит  что твориться от всего этого. И христиане пускают их в свой дом и терпят все их заморочки. Какой нибудь христианин приедет в их мир со своими правилами  его камнями закидают.,1,0,0,1,0,0
rus_0a5bd7fdece3eef441494c32b3fd72f1,Евреи протестуют против карантина и за это их смывают с дороги.,0,0,0,0,0,0
rus_0a5c7e99a8539fc93aa8f5a38a3e868d,"Слушай  а почему Таджики не бегут в Америку? 
Почему к нам бегут?",0,0,0,0,0,0
rus_0a93575abb5a916fc14d052b10f018a6,Президент Сооронбай Жээнбеков продлил режим чрезвычайного положения  а Минздрав признал нехватку аппаратов ИВЛ. Самое важное в нашем дайджесте.,0,0,0,0,0,0
rus_0a9a6e539ef498d9108edfa158218921,Интересно а как эпидемия вируса отразится на ЛГБТ движении  феминистках и прочих творческих личностях. Заметил  что Святая Грета внезапно пропала из новостей. Это плохой знак. Кто-то слил эту выдающуюся девушку.,0,0,0,0,0,0
rus_0aca16fc18392847e6cc78bc5a1ca65e,#коронавирус Евреи провели чёрную свадьбу — ритуал для предотвращения эпидемий. На кладбище женят «самых несчастных» — сирот  всё в чёрном. В прошлый раз чёрную свадьбу проводили во время испанки.,0,0,0,0,0,0
rus_0adb51ee1a3e79cfedaaccfd7ee938e2,я не понимаю я провела 3 часа на улице и рандомные мужчины предложили мне выпить вино раз 10? вы долбоебы сука отвалите карантин,0,0,0,0,0,0
rus_0ae96e2bbcd048b41f98d36290a6503a,Суд Оренбурга отказал местному жителю  пытавшемуся через суд сменить национальность. Мужчина объяснил  что всегда считал себя русским  не владеет немецким языком и не чувствует связи с культурой предков. В 90-х он поменял фамилию и официально указал немецкую национальность  ⬇️,0,0,0,0,0,0
rus_0aeb9772262a724e5140efdc66cdb1cf,@USER зачем ты всему интернету рассказала  что я айтишник,0,0,0,0,0,0
rus_0aebc50ae8e16960a768f3f053a612eb,«шить и стирать марлевые маски» - любая советская школьница могла сшить такое  эта работа меньше  чем ничто  а стирать их надо по технологии  для усадки. Миллениалы попались на отмене военки в школах.,1,0,0,0,0,1
rus_0b292069476f5518ebdc1f14daed5411,Дедушка  лет 70  в очереди в аптеку сантиметрах в 50 от другого мужчины: не понимаю  зачем эти маски  как пришло - так и уйдёт. Ничем этих людей не проймёшь.,0,0,0,0,0,0
rus_0b3c8c650b980fe8d487877d9414482e,@USER Тем временем  хохлы запретили прослушивание русской музыки в общественных местах.,1,1,1,0,0,0
rus_0b4495b86680dabd7ca9dc95f48800bc,Разговор с Савелием С: вот заразишься коронавиросом. Будешь с короной  но не той Я:*наклоняюсь за упавшим мусором* С: эй  аккуратнее  корона падает Я: не бойся  не упадёт. С: я бы поспорил  хотя  ты же у нас змея Я: к чему это? С: ой  атцтань Тупо бессмысленный диалог #лгбт,0,0,0,0,0,0
rus_0b490283b6b8bfa2a1fc75a24f390e78,Лежу смотрю на свои жирные ноги и думаю они всегда такими были или я все таки набрала за карантин,0,0,0,0,0,0
rus_0b9a0320503e34fe4e684daba9312fe6,Сейчас Первый канал рассказывает  что в Нью-Йорке не хватает масок! Ужас! Бедные женщины стоят с плакатами.. Про то  что в Москве нет одноразовых масок ВООБЩЕ и НИГДЕ  как-то забыли сообщить. Наверное  думают  что раз в Озоне есть за 500₽  и проблемы нет.,0,0,0,0,0,0
rus_0ba1a1c18e5af5937f5f5af1d0cfde58,@USER @USER При чём тут турки?,0,0,0,0,0,0
rus_0ba2f927db4e74924316204b03ccdbcc,Прорези в китайских тканевых масках не подходят для русского лица. Это расизм я считаю.,1,0,1,0,0,0
rus_0bd032b3125263c58b4a86c161aabb7e,у человека был выбор. какая же это диктатура?😄,0,0,0,0,0,0
rus_0be474256c744a3437b23d592c06aa2b,я довольна. нам просто дали задание до конца карантина. мое эмоциональное состояние улучшилось на оухенное количество поинтов и я работаю в удобном для себя режиме. объективно лучше  чем сидеть сорок пять минут в классе  нихуя не вдуплять и подыхать от трёх часов сна,0,0,0,0,0,0
rus_0be8ba243857702e1cb84003daf96cdd,"Ура
А что такое радфем :D",0,0,0,0,0,0
rus_0bef7a763dbae4851afa8829f6dbb3f1,@USER @USER А ты хня мокшанская знаешь сколько чурок за твой вонючий совок воевало  пока твой дед власовец людей в сараях сжигал.,1,1,1,0,0,0
rus_0bfd2c89dfe3ff3d5bcf33eb4056fdef,Одинцовцы  почему вы не заботитесь о себе? Вам столько раз говорили сидеть дома ради вас самих же  да  режим самоизоляции неправильный  абсолютно неправильный  потому что надо вводить режим ЧС или ЧП  или НОРМАЛЬНОГО  карантина  что я советую сделать @USER,0,0,0,0,0,0
rus_0c19f40527dccd6d0ba9f7fe89f9d9eb,Артур подошел к холодильнику выбрал там три наименее поросших лохматой плесенью куска непонятно чего он нарек их завтраком и съел.Эти три кусочка ликвидировали опасную космическую инфекцию которую Артур подцепил несколькими днями раньше в Газовых Топях Фларгатона А.Дуглас.,0,0,0,0,0,0
